brand_id,barcode,brandCode,category,categoryCode,cpg_id,name,topBrand
601ac115be37ce2ead437551,511111019862    ,0,Baking,BAKING,601ac114be37ce2ead437550,test brand @1612366101024,FALSE
601c5460be37ce2ead43755f,511111519928    ,STARBUCKS,Beverages,BEVERAGES,5332f5fbe4b03c9a25efd0ba,Starbucks,FALSE
601ac142be37ce2ead43755d,511111819905    ,TEST BRANDCODE @1612366146176,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146176,FALSE
601ac142be37ce2ead43755a,511111519874    ,TEST BRANDCODE @1612366146051,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146051,FALSE
601ac142be37ce2ead43755e,511111319917    ,TEST BRANDCODE @1612366146827,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1612366146827,FALSE
601ac142be37ce2ead43755b,511111719885    ,TEST BRANDCODE @1612366146091,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146091,FALSE
601ac142be37ce2ead43755c,511111219897    ,TEST BRANDCODE @1612366146133,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146133,FALSE
5cdad0f5166eb33eb7ce0faa,511111104810    ,J.L. KRAFT,Condiments & Sauces,0,559c2234e4b06aca36af13c6,J.L. Kraft,UNKNOWN
5ab15636e4b0be0a89bb0b07,511111504412    ,CAMPBELLS HOME STYLE,Canned Goods & Soups,0,5a734034e4b0d58f376be874,Campbell's Home Style,FALSE
5c408e8bcd244a1fdb47aee7,511111504788    ,TEST,Baking,0,59ba6f1ce4b092b29c167346,test,UNKNOWN
5f4bf556be37ce0b4491554d,511111516354    ,TEST BRANDCODE @1598813526777,Baking,BAKING,5f4bf556be37ce0b44915549,test brand @1598813526777,UNKNOWN
57c08106e4b0718ff5fcb02c,511111102540    ,0,0,0,5332f5f2e4b03c9a25efd0aa,MorningStar,UNKNOWN
588ba07be4b02187f85cdadd,511111201076    ,CALUMET,Baking,0,559c2234e4b06aca36af13c6,Calumet,FALSE
5d6413156d5f3b23d1bc790a,511111205012    ,5.11111E+11,Magazines,0,5d5d4fd16d5f3b23d1bc7905,Entertainment Weekly,UNKNOWN
585a9611e4b03e62d1ce0e74,511111801801    ,AUNT JEMIMA SYRUP,Breakfast & Cereal,0,5332f5fbe4b03c9a25efd0ba,AUNT JEMIMA Syrup,FALSE
57e5820ce4b0ac389136a311,511111202233    ,MOLSON,Beer Wine Spirits,0,5332f709e4b03c9a25efd0f1,Molson Canadian,FALSE
5fb6adb8be37ce522e165cb8,511111817376    ,LOTRIMIN,Health & Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,LotriminÂ®,FALSE
5f358338be37ce443bf9d55a,511111515319    ,TEST BRANDCODE @1597342520277,Baking,BAKING,5f358338be37ce443bf9d557,test brand @1597342520277,UNKNOWN
5fb28549be37ce522e165cb5,511111317364    ,0,Baking,BAKING,5fb28549be37ce522e165cb4,test brand @1605535049181,FALSE
592486bfe410d61fcea3d139,511111300700    ,ST IVES,Beauty,0,5332f5f6e4b03c9a25efd0b4,ST. IVES,FALSE
5c4699f387ff3577e203ea29,511111305125    ,CHRISIMAGE,Baby,0,55b62995e4b0d8e685c14213,Chris Image Test,UNKNOWN
5da6071ea60b87376833e34d,511111005650    ,ALKA SELTZER,Health & Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,Alka-SeltzerÂ®,UNKNOWN
57ebc011e4b0ac389136a335,511111802129    ,JACK DANIEL'S BARBECUE,Condiments & Sauces,0,559c2234e4b06aca36af13c6,Jack Daniel's,FALSE
5332f5fee4b03c9a25efd0bd,511111303947    ,0,0,0,53e10d6368abd3c7065097cc,Bottled Starbucks,UNKNOWN
5332fa7ce4b03c9a25efd22e,511111802914    ,0,0,0,5332f5ebe4b03c9a25efd0a8,Full Throttle,UNKNOWN
5e9f18bfbe37ce3e45b6a77f,511111914549    ,0,Baking,BAKING,5e9f12f5be37ce3e45b6a77e,PopUp Brand A,UNKNOWN
592486bee410d61fcea3d133,511111400769    ,MAGNUM Ice Cream,Frozen,0,5332f5f6e4b03c9a25efd0b4,MAGNUM Ice Cream,FALSE
5d66d71fa3a018093ab34728,511111105329    ,5.11111E+11,Magazines,0,5d5d4fd16d5f3b23d1bc7905,Elegant Homes Magazine,UNKNOWN
5f493e72be37ce64d0ae36c6,511111316114    ,TEST BRANDCODE @1598635634882,Baking,BAKING,5f493e72be37ce64d0ae36c2,test brand @1598635634882,UNKNOWN
5f4936ddbe37ce52f8314fd9,511111315957    ,0,Baking,BAKING,5f4936dcbe37ce52f8314fd8,test brand @1598633693011,UNKNOWN
57ebc2e7e4b0ac389136a34b,511111201915    ,TACO BELL,Grocery,0,559c2234e4b06aca36af13c6,Taco Bell,FALSE
5fd2a0aebe37ce49eb72c0ee,511111518112    ,0,Baking,BAKING,5fd2a0aebe37ce49eb72c0ed,test brand @1607639214411,FALSE
